trial_index,selected,architecture,seed,credibility_features,hidden_size,num_layers,dropout,head_hidden_size,epochs_requested,epochs_completed,learning_rate,batch_size,validation_split,best_epoch,weight_decay,target_mode,text_encoder,text_adapter_dim,text_embedding_dim,text_pool_lambda_inv_days,combined_rmse,loss,close_rmse,volatility_rmse,train_combined_rmse,train_close_rmse,train_volatility_rmse,train_loss,val_combined_rmse,val_close_rmse,val_volatility_rmse,test_combined_rmse,test_close_rmse,test_volatility_rmse,fold_id,protocol,checkpoint_saved,checkpoint_path,hp_combo_id
1,False,gru,11,False,256,3,0.2,32,40,11,0.0003,64,0.2,3,0.0001,real,,0,0,30.0,inf,1.1710238767872876,inf,inf,inf,inf,inf,0.8549680968371681,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
2,False,gru,11,False,256,3,0.2,32,40,25,0.0003,64,0.2,17,0.0001,real,,0,0,30.0,inf,0.6387502596721993,inf,inf,inf,inf,inf,0.7175520045970514,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
3,False,gru,11,False,256,3,0.2,32,40,9,0.0003,64,0.2,1,0.0001,real,,0,0,30.0,inf,1.151024341583252,inf,inf,inf,inf,inf,0.8865124524964226,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
4,False,gru,11,False,256,3,0.2,32,40,11,0.0003,64,0.2,3,0.0001,real,,0,0,30.0,inf,1.0428759602147049,inf,inf,inf,inf,inf,0.8260735025977896,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
5,False,gru,11,False,128,3,0.2,32,40,11,0.001,64,0.2,3,0.0001,real,,0,0,30.0,inf,1.1860165152798736,inf,inf,inf,inf,inf,0.8318410082210287,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,15
6,False,gru,11,False,128,3,0.2,32,40,27,0.001,64,0.2,19,0.0001,real,,0,0,30.0,inf,0.5815801153311858,inf,inf,inf,inf,inf,0.6442549868327815,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,15
7,False,gru,11,False,128,3,0.2,32,40,15,0.001,64,0.2,7,0.0001,real,,0,0,30.0,inf,1.6066357515476368,inf,inf,inf,inf,inf,0.7788680950800578,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,15
8,False,gru,11,False,128,3,0.2,32,40,10,0.001,64,0.2,2,0.0001,real,,0,0,30.0,inf,1.1352942131263606,inf,inf,inf,inf,inf,0.8240972971852126,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,15
9,False,gru,11,False,256,3,0.1,32,40,9,0.0003,64,0.2,1,0.0,real,,0,0,30.0,inf,1.1334090548188231,inf,inf,inf,inf,inf,0.8841573364859237,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,24
10,False,gru,11,False,256,3,0.1,32,40,23,0.0003,64,0.2,15,0.0,real,,0,0,30.0,inf,0.5997205220901214,inf,inf,inf,inf,inf,0.7098637152493484,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,24
