trial_index,selected,architecture,seed,credibility_features,hidden_size,num_layers,dropout,head_hidden_size,epochs_requested,epochs_completed,learning_rate,batch_size,validation_split,best_epoch,weight_decay,target_mode,text_encoder,text_adapter_dim,text_embedding_dim,text_pool_lambda_inv_days,combined_rmse,loss,close_rmse,volatility_rmse,train_combined_rmse,train_close_rmse,train_volatility_rmse,train_loss,val_combined_rmse,val_close_rmse,val_volatility_rmse,test_combined_rmse,test_close_rmse,test_volatility_rmse,fold_id,protocol,checkpoint_saved,checkpoint_path,hp_combo_id
1,False,lstm_attn,11,False,256,3,0.2,32,40,10,0.0003,64,0.2,2,0.0001,real,,0,0,30.0,inf,1.1155403160549782,inf,inf,inf,inf,inf,0.9196115467048794,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
2,False,lstm_attn,11,False,256,3,0.2,32,40,9,0.0003,64,0.2,1,0.0001,real,,0,0,30.0,inf,0.8276384333232502,inf,inf,inf,inf,inf,0.902517852889813,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
3,False,lstm_attn,11,False,256,3,0.2,32,40,13,0.0003,64,0.2,5,0.0001,real,,0,0,30.0,inf,1.416512374524717,inf,inf,inf,inf,inf,0.8656511971685621,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
4,False,lstm_attn,11,False,256,3,0.2,32,40,9,0.0003,64,0.2,1,0.0001,real,,0,0,30.0,inf,1.0479255761900466,inf,inf,inf,inf,inf,0.9204189292971371,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
5,False,lstm_attn,11,False,128,3,0.2,32,40,10,0.001,64,0.2,2,0.0001,real,,0,0,30.0,inf,1.1056132503728502,inf,inf,inf,inf,inf,0.9216972601242029,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,15
6,False,lstm_attn,11,False,128,3,0.2,32,40,12,0.001,64,0.2,4,0.0001,real,,0,0,30.0,inf,0.6544936181188704,inf,inf,inf,inf,inf,0.8430703210152262,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,15
7,False,lstm_attn,11,False,128,3,0.2,32,40,10,0.001,64,0.2,2,0.0001,real,,0,0,30.0,inf,1.5239179973249082,inf,inf,inf,inf,inf,0.9055783059861925,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,15
8,False,lstm_attn,11,False,128,3,0.2,32,40,15,0.001,64,0.2,7,0.0001,real,,0,0,30.0,inf,1.3378595327958556,inf,inf,inf,inf,inf,0.7657170457776153,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,15
9,False,lstm_attn,11,False,256,3,0.1,32,40,9,0.0003,64,0.2,1,0.0,real,,0,0,30.0,inf,1.0845792522830637,inf,inf,inf,inf,inf,0.9245309351260539,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,24
10,False,lstm_attn,11,False,256,3,0.1,32,40,9,0.0003,64,0.2,1,0.0,real,,0,0,30.0,inf,0.8255739673837885,inf,inf,inf,inf,inf,0.8994848831882322,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,24
11,False,lstm_attn,11,False,256,3,0.1,32,40,13,0.0003,64,0.2,5,0.0,real,,0,0,30.0,inf,1.4112143693146881,inf,inf,inf,inf,inf,0.8708239471470868,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,24
12,False,lstm_attn,11,False,256,3,0.1,32,40,9,0.0003,64,0.2,1,0.0,real,,0,0,30.0,inf,1.0435504345611724,inf,inf,inf,inf,inf,0.9186590184871941,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,24
13,False,lstm_attn,11,False,256,2,0.1,32,40,10,0.0003,64,0.2,2,0.0001,real,,0,0,30.0,inf,1.127667609840137,inf,inf,inf,inf,inf,0.8942755139964004,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,17
14,False,lstm_attn,11,False,256,2,0.1,32,40,18,0.0003,64,0.2,10,0.0001,real,,0,0,30.0,inf,0.7394543150523761,inf,inf,inf,inf,inf,0.7468369692806306,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,17
15,False,lstm_attn,11,False,256,2,0.1,32,40,9,0.0003,64,0.2,1,0.0001,real,,0,0,30.0,inf,1.1990325495048806,inf,inf,inf,inf,inf,0.9152017633120219,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,17
16,False,lstm_attn,11,False,256,2,0.1,32,40,9,0.0003,64,0.2,1,0.0001,real,,0,0,30.0,inf,1.0553225973025575,inf,inf,inf,inf,inf,0.9040957257036535,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,17
17,False,lstm_attn,11,False,128,3,0.1,32,40,13,0.0003,64,0.2,5,0.0,real,,0,0,30.0,inf,1.1490102453486812,inf,inf,inf,inf,inf,0.8873202821707228,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,8
18,True,lstm_attn,11,False,128,3,0.1,32,40,19,0.0003,64,0.2,11,0.0,real,,0,0,30.0,inf,0.6538100387599017,inf,inf,inf,inf,inf,0.8224803430762717,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,8
