trial_index,selected,architecture,seed,credibility_features,hidden_size,num_layers,dropout,head_hidden_size,epochs_requested,epochs_completed,learning_rate,batch_size,validation_split,best_epoch,weight_decay,target_mode,text_encoder,text_adapter_dim,text_embedding_dim,text_pool_lambda_inv_days,combined_rmse,loss,close_rmse,volatility_rmse,train_combined_rmse,train_close_rmse,train_volatility_rmse,train_loss,val_combined_rmse,val_close_rmse,val_volatility_rmse,test_combined_rmse,test_close_rmse,test_volatility_rmse,fold_id,protocol,checkpoint_saved,checkpoint_path,hp_combo_id
1,False,tcn,11,False,256,3,0.2,32,40,16,0.0003,64,0.2,8,0.0001,real,,0,0,30.0,inf,1.1244886430657726,inf,inf,inf,inf,inf,0.7565851863703905,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
2,True,tcn,11,False,256,3,0.2,32,40,9,0.0003,64,0.2,1,0.0001,real,,0,0,30.0,inf,0.5944282541403899,inf,inf,inf,inf,inf,0.8725725511709849,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
3,False,tcn,11,False,256,3,0.2,32,40,10,0.0003,64,0.2,2,0.0001,real,,0,0,30.0,inf,1.097577448244448,inf,inf,inf,inf,inf,0.8447950130921823,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
4,False,tcn,11,False,256,3,0.2,32,40,9,0.0003,64,0.2,1,0.0001,real,,0,0,30.0,inf,1.035270715737986,inf,inf,inf,inf,inf,0.8706377441312565,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
5,False,tcn,11,False,128,3,0.2,32,40,16,0.001,64,0.2,8,0.0001,real,,0,0,30.0,inf,1.1739434035018759,inf,inf,inf,inf,inf,0.7236166176143385,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,15
6,False,tcn,11,False,128,3,0.2,32,40,9,0.001,64,0.2,1,0.0001,real,,0,0,30.0,inf,0.6370212145753809,inf,inf,inf,inf,inf,0.8514377270772205,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,15
7,False,tcn,11,False,128,3,0.2,32,40,28,0.001,64,0.2,20,0.0001,real,,0,0,30.0,inf,1.7221873380519725,inf,inf,inf,inf,inf,0.5576510584795916,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,15
8,False,tcn,11,False,128,3,0.2,32,40,10,0.001,64,0.2,2,0.0001,real,,0,0,30.0,inf,1.0795170709532245,inf,inf,inf,inf,inf,0.8164552077395245,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,15
9,False,tcn,11,False,256,3,0.1,32,40,21,0.0003,64,0.2,13,0.0,real,,0,0,30.0,inf,1.188459130076525,inf,inf,inf,inf,inf,0.6842899264240323,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,24
10,False,tcn,11,False,256,3,0.1,32,40,9,0.0003,64,0.2,1,0.0,real,,0,0,30.0,inf,0.597448715487042,inf,inf,inf,inf,inf,0.8662622568568563,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,24
11,False,tcn,11,False,256,3,0.1,32,40,10,0.0003,64,0.2,2,0.0,real,,0,0,30.0,inf,1.0992927374663177,inf,inf,inf,inf,inf,0.8383220870406539,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,24
12,False,tcn,11,False,256,3,0.1,32,40,9,0.0003,64,0.2,1,0.0,real,,0,0,30.0,inf,1.0308837233570578,inf,inf,inf,inf,inf,0.864587380034546,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,24
13,False,tcn,11,False,256,2,0.1,32,40,21,0.0003,64,0.2,13,0.0001,real,,0,0,30.0,inf,1.1846057506142655,inf,inf,inf,inf,inf,0.683949375255585,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,17
14,False,tcn,11,False,256,2,0.1,32,40,9,0.0003,64,0.2,1,0.0001,real,,0,0,30.0,inf,0.597367283997235,inf,inf,inf,inf,inf,0.8662583254701723,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,17
15,False,tcn,11,False,256,2,0.1,32,40,10,0.0003,64,0.2,2,0.0001,real,,0,0,30.0,inf,1.099824759695265,inf,inf,inf,inf,inf,0.8383255703360946,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,17
16,False,tcn,11,False,256,2,0.1,32,40,9,0.0003,64,0.2,1,0.0001,real,,0,0,30.0,inf,1.0309371438487662,inf,inf,inf,inf,inf,0.8645590052985633,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,17
17,False,tcn,11,False,128,3,0.1,32,40,16,0.0003,64,0.2,8,0.0,real,,0,0,30.0,inf,1.0881777566974877,inf,inf,inf,inf,inf,0.7871376292434693,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,8
18,False,tcn,11,False,128,3,0.1,32,40,9,0.0003,64,0.2,1,0.0,real,,0,0,30.0,inf,0.7361131600431494,inf,inf,inf,inf,inf,0.9259758499579701,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,8
19,False,tcn,11,False,128,3,0.1,32,40,29,0.0003,64,0.2,21,0.0,real,,0,0,30.0,inf,1.2232233197600753,inf,inf,inf,inf,inf,0.7186348682862741,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,8
20,False,tcn,11,False,128,3,0.1,32,40,12,0.0003,64,0.2,4,0.0,real,,0,0,30.0,inf,1.052872891832375,inf,inf,inf,inf,inf,0.8174117066372717,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,8
21,False,tcn,29,False,256,3,0.2,32,40,25,0.0003,64,0.2,17,0.0001,real,,0,0,30.0,inf,1.215896201990643,inf,inf,inf,inf,inf,0.7058825278105743,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
22,False,tcn,29,False,256,3,0.2,32,40,9,0.0003,64,0.2,1,0.0001,real,,0,0,30.0,inf,0.7554864577344946,inf,inf,inf,inf,inf,0.889648266924106,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
23,False,tcn,29,False,256,3,0.2,32,40,10,0.0003,64,0.2,2,0.0001,real,,0,0,30.0,inf,1.1360307137171428,inf,inf,inf,inf,inf,0.8624879327526799,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
24,False,tcn,29,False,256,3,0.2,32,40,12,0.0003,64,0.2,4,0.0001,real,,0,0,30.0,inf,1.0696358428120751,inf,inf,inf,inf,inf,0.7978862853041202,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
25,False,tcn,29,False,128,3,0.2,32,40,30,0.001,64,0.2,22,0.0001,real,,0,0,30.0,inf,1.2658925024366408,inf,inf,inf,inf,inf,0.6402914915912725,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,15
