trial_index,selected,architecture,seed,credibility_features,hidden_size,num_layers,dropout,head_hidden_size,epochs_requested,epochs_completed,learning_rate,batch_size,validation_split,best_epoch,weight_decay,target_mode,text_encoder,text_adapter_dim,text_embedding_dim,text_pool_lambda_inv_days,combined_rmse,loss,close_rmse,volatility_rmse,train_combined_rmse,train_close_rmse,train_volatility_rmse,train_loss,val_combined_rmse,val_close_rmse,val_volatility_rmse,test_combined_rmse,test_close_rmse,test_volatility_rmse,fold_id,protocol,checkpoint_saved,checkpoint_path,hp_combo_id
1,False,transformer,11,False,256,3,0.2,32,40,16,0.0003,64,0.2,8,0.0001,real,,0,0,30.0,inf,1.077230313421605,inf,inf,inf,inf,inf,0.8086310248645848,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
2,False,transformer,11,False,256,3,0.2,32,40,25,0.0003,64,0.2,17,0.0001,real,,0,0,30.0,inf,0.5402520795663198,inf,inf,inf,inf,inf,0.6972821165875691,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
3,False,transformer,11,False,256,3,0.2,32,40,13,0.0003,64,0.2,5,0.0001,real,,0,0,30.0,inf,1.1731997772499367,inf,inf,inf,inf,inf,0.8249508108916106,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
4,False,transformer,11,False,256,3,0.2,32,40,16,0.0003,64,0.2,8,0.0001,real,,0,0,30.0,inf,1.1985553234909172,inf,inf,inf,inf,inf,0.7569770012049845,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
5,False,transformer,11,False,128,3,0.2,32,40,14,0.001,64,0.2,6,0.0001,real,,0,0,30.0,inf,1.0990859260107932,inf,inf,inf,inf,inf,0.8459511333821005,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,15
6,False,transformer,11,False,128,3,0.2,32,40,12,0.001,64,0.2,4,0.0001,real,,0,0,30.0,inf,0.48220349150198,inf,inf,inf,inf,inf,0.8087530945374714,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,15
7,False,transformer,11,False,128,3,0.2,32,40,10,0.001,64,0.2,2,0.0001,real,,0,0,30.0,inf,1.1523896764825892,inf,inf,inf,inf,inf,0.9022679686546325,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,15
8,False,transformer,11,False,128,3,0.2,32,40,11,0.001,64,0.2,3,0.0001,real,,0,0,30.0,inf,1.1126604863369007,inf,inf,inf,inf,inf,0.8468868242173228,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,15
9,False,transformer,11,False,256,3,0.1,32,40,9,0.0003,64,0.2,1,0.0,real,,0,0,30.0,inf,1.1077272932931512,inf,inf,inf,inf,inf,0.9215730911917424,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,24
10,True,transformer,11,False,256,3,0.1,32,40,18,0.0003,64,0.2,10,0.0,real,,0,0,30.0,inf,0.4609655818423709,inf,inf,inf,inf,inf,0.7209393702871432,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,24
11,False,transformer,11,False,256,3,0.1,32,40,10,0.0003,64,0.2,2,0.0,real,,0,0,30.0,inf,1.1070701634442364,inf,inf,inf,inf,inf,0.8850121272051776,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,24
12,False,transformer,11,False,256,3,0.1,32,40,11,0.0003,64,0.2,3,0.0,real,,0,0,30.0,inf,1.1331872887556835,inf,inf,inf,inf,inf,0.8416665714564476,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,24
13,False,transformer,11,False,256,2,0.1,32,40,9,0.0003,64,0.2,1,0.0001,real,,0,0,30.0,inf,1.1020898079182688,inf,inf,inf,inf,inf,0.9193527355994136,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,17
14,False,transformer,11,False,256,2,0.1,32,40,15,0.0003,64,0.2,7,0.0001,real,,0,0,30.0,inf,0.5131238186144614,inf,inf,inf,inf,inf,0.7690841883178648,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,17
15,False,transformer,11,False,256,2,0.1,32,40,14,0.0003,64,0.2,6,0.0001,real,,0,0,30.0,inf,1.3011130491892497,inf,inf,inf,inf,inf,0.8036375236511231,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,17
16,False,transformer,11,False,256,2,0.1,32,40,16,0.0003,64,0.2,8,0.0001,real,,0,0,30.0,inf,1.212310785503086,inf,inf,inf,inf,inf,0.7632560068246104,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,17
17,False,transformer,11,False,128,3,0.1,32,40,13,0.0003,64,0.2,5,0.0,real,,0,0,30.0,inf,1.1162601842137871,inf,inf,inf,inf,inf,0.8652106828488985,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,8
18,False,transformer,11,False,128,3,0.1,32,40,39,0.0003,64,0.2,31,0.0,real,,0,0,30.0,inf,0.49359339797818985,inf,inf,inf,inf,inf,0.7492188522001592,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,8
19,False,transformer,11,False,128,3,0.1,32,40,14,0.0003,64,0.2,6,0.0,real,,0,0,30.0,inf,1.1778919652656272,inf,inf,inf,inf,inf,0.837323263751136,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,8
20,False,transformer,11,False,128,3,0.1,32,40,14,0.0003,64,0.2,6,0.0,real,,0,0,30.0,inf,1.140812774346492,inf,inf,inf,inf,inf,0.8189438551952521,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,8
21,False,transformer,29,False,256,3,0.2,32,40,17,0.0003,64,0.2,9,0.0001,real,,0,0,30.0,inf,1.2041609333741852,inf,inf,inf,inf,inf,0.8043903728749976,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
22,False,transformer,29,False,256,3,0.2,32,40,27,0.0003,64,0.2,19,0.0001,real,,0,0,30.0,inf,0.6251332440354802,inf,inf,inf,inf,inf,0.689619227250417,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
23,False,transformer,29,False,256,3,0.2,32,40,13,0.0003,64,0.2,5,0.0001,real,,0,0,30.0,inf,1.1061601903703477,inf,inf,inf,inf,inf,0.8274466814818205,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
24,False,transformer,29,False,256,3,0.2,32,40,13,0.0003,64,0.2,5,0.0001,real,,0,0,30.0,inf,1.1757521113950988,inf,inf,inf,inf,inf,0.7856120764121304,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
25,False,transformer,29,False,128,3,0.2,32,40,13,0.001,64,0.2,5,0.0001,real,,0,0,30.0,inf,1.0817331584661525,inf,inf,inf,inf,inf,0.8505084110029547,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,15
26,False,transformer,29,False,128,3,0.2,32,40,13,0.001,64,0.2,5,0.0001,real,,0,0,30.0,inf,0.5679872768956262,inf,inf,inf,inf,inf,0.8057676082704125,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,15
27,False,transformer,29,False,128,3,0.2,32,40,11,0.001,64,0.2,3,0.0001,real,,0,0,30.0,inf,1.3386860997588546,inf,inf,inf,inf,inf,0.8978780088601289,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,15
28,False,transformer,29,False,128,3,0.2,32,40,11,0.001,64,0.2,3,0.0001,real,,0,0,30.0,inf,1.1863396900589562,inf,inf,inf,inf,inf,0.8854065430739694,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,15
29,False,transformer,29,False,256,3,0.1,32,40,18,0.0003,64,0.2,10,0.0,real,,0,0,30.0,inf,1.142255019626344,inf,inf,inf,inf,inf,0.7631718923803074,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,24
