trial_index,selected,architecture,seed,credibility_features,hidden_size,num_layers,dropout,head_hidden_size,epochs_requested,epochs_completed,learning_rate,batch_size,validation_split,best_epoch,weight_decay,target_mode,text_encoder,text_adapter_dim,text_embedding_dim,text_pool_lambda_inv_days,combined_rmse,loss,close_rmse,volatility_rmse,train_combined_rmse,train_close_rmse,train_volatility_rmse,train_loss,val_combined_rmse,val_close_rmse,val_volatility_rmse,test_combined_rmse,test_close_rmse,test_volatility_rmse,fold_id,protocol,checkpoint_saved,checkpoint_path,hp_combo_id
1,False,transformer,11,False,256,3,0.2,32,40,13,0.0003,64,0.2,5,0.0001,real,,0,0,30.0,inf,1.0295434143861966,inf,inf,inf,inf,inf,0.847702478877045,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/app/models/forecaster_best.pt,29
2,False,transformer,11,False,256,3,0.2,32,40,11,0.0003,64,0.2,3,0.0001,real,,0,0,30.0,inf,0.5995405668073946,inf,inf,inf,inf,inf,0.8361629963890324,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/app/models/forecaster_best.pt,29
3,False,transformer,11,False,256,3,0.2,32,40,10,0.0003,64,0.2,2,0.0001,real,,0,0,30.0,inf,1.090324702086272,inf,inf,inf,inf,inf,0.8639367815300271,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/app/models/forecaster_best.pt,29
4,False,transformer,11,False,256,3,0.2,32,40,12,0.0003,64,0.2,4,0.0001,real,,0,0,30.0,inf,1.0238174783656504,inf,inf,inf,inf,inf,0.8108590976342174,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/app/models/forecaster_best.pt,29
5,False,transformer,11,False,128,3,0.2,32,40,24,0.001,64,0.2,16,0.0001,real,,0,0,30.0,inf,1.0225902327058047,inf,inf,inf,inf,inf,0.777725807183962,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/app/models/forecaster_best.pt,15
6,False,transformer,11,False,128,3,0.2,32,40,14,0.001,64,0.2,6,0.0001,real,,0,0,30.0,inf,1.0128947152747765,inf,inf,inf,inf,inf,0.8741016404415534,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/app/models/forecaster_best.pt,15
7,False,transformer,11,False,128,3,0.2,32,40,25,0.001,64,0.2,17,0.0001,real,,0,0,30.0,inf,1.3746813491538719,inf,inf,inf,inf,inf,0.7718101391968903,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/app/models/forecaster_best.pt,15
8,False,transformer,11,False,128,3,0.2,32,40,16,0.001,64,0.2,8,0.0001,real,,0,0,30.0,inf,0.9421663279125269,inf,inf,inf,inf,inf,0.7958321573709968,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/app/models/forecaster_best.pt,15
9,False,transformer,11,False,256,3,0.1,32,40,11,0.0003,64,0.2,3,0.0,real,,0,0,30.0,inf,1.0419626806969196,inf,inf,inf,inf,inf,0.8632551329416261,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/app/models/forecaster_best.pt,24
10,False,transformer,11,False,256,3,0.1,32,40,14,0.0003,64,0.2,6,0.0,real,,0,0,30.0,inf,0.7652041949667372,inf,inf,inf,inf,inf,0.8226314088193382,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/app/models/forecaster_best.pt,24
11,False,transformer,11,False,256,3,0.1,32,40,10,0.0003,64,0.2,2,0.0,real,,0,0,30.0,inf,1.1099081613399364,inf,inf,inf,inf,inf,0.866916178950557,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/app/models/forecaster_best.pt,24
12,False,transformer,11,False,256,3,0.1,32,40,16,0.0003,64,0.2,8,0.0,real,,0,0,30.0,inf,1.0117342698419618,inf,inf,inf,inf,inf,0.7948794813592991,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/app/models/forecaster_best.pt,24
13,False,transformer,11,False,256,2,0.1,32,40,11,0.0003,64,0.2,3,0.0001,real,,0,0,30.0,inf,1.0564321371064953,inf,inf,inf,inf,inf,0.8546718940172202,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/app/models/forecaster_best.pt,17
14,False,transformer,11,False,256,2,0.1,32,40,16,0.0003,64,0.2,8,0.0001,real,,0,0,30.0,inf,0.5280629632709263,inf,inf,inf,inf,inf,0.8198617243669867,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/app/models/forecaster_best.pt,17
15,False,transformer,11,False,256,2,0.1,32,40,13,0.0003,64,0.2,5,0.0001,real,,0,0,30.0,inf,1.1659452341220997,inf,inf,inf,inf,inf,0.8403994186719259,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/app/models/forecaster_best.pt,17
16,False,transformer,11,False,256,2,0.1,32,40,12,0.0003,64,0.2,4,0.0001,real,,0,0,30.0,inf,1.015565016305681,inf,inf,inf,inf,inf,0.8172120646138499,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/app/models/forecaster_best.pt,17
17,False,transformer,11,False,128,3,0.1,32,40,22,0.0003,64,0.2,14,0.0,real,,0,0,30.0,inf,1.0427150407016936,inf,inf,inf,inf,inf,0.7937131514068129,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/app/models/forecaster_best.pt,8
18,False,transformer,11,False,128,3,0.1,32,40,18,0.0003,64,0.2,10,0.0,real,,0,0,30.0,inf,0.8404428319888072,inf,inf,inf,inf,inf,0.8443976241398633,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/app/models/forecaster_best.pt,8
19,False,transformer,11,False,128,3,0.1,32,40,10,0.0003,64,0.2,2,0.0,real,,0,0,30.0,inf,1.0982468746326588,inf,inf,inf,inf,inf,0.8937197041511535,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/app/models/forecaster_best.pt,8
20,False,transformer,11,False,128,3,0.1,32,40,14,0.0003,64,0.2,6,0.0,real,,0,0,30.0,inf,0.9776719882939997,inf,inf,inf,inf,inf,0.8058723736893303,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/app/models/forecaster_best.pt,8
21,False,transformer,11,False,128,3,0.1,32,40,22,0.0003,64,0.2,14,0.0001,real,,0,0,30.0,inf,1.0430129473721759,inf,inf,inf,inf,inf,0.793630548250181,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/app/models/forecaster_best.pt,9
22,False,transformer,11,False,128,3,0.1,32,40,18,0.0003,64,0.2,10,0.0001,real,,0,0,30.0,inf,0.8405185341835022,inf,inf,inf,inf,inf,0.8444276502461937,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/app/models/forecaster_best.pt,9
23,False,transformer,11,False,128,3,0.1,32,40,10,0.0003,64,0.2,2,0.0001,real,,0,0,30.0,inf,1.0982190017346982,inf,inf,inf,inf,inf,0.893689803812239,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/app/models/forecaster_best.pt,9
24,False,transformer,11,False,128,3,0.1,32,40,14,0.0003,64,0.2,6,0.0001,real,,0,0,30.0,inf,0.9776383700067116,inf,inf,inf,inf,inf,0.8058451337049108,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/app/models/forecaster_best.pt,9
25,False,transformer,11,False,256,3,0.2,32,40,15,0.001,64,0.2,7,0.0,real,,0,0,30.0,inf,1.0148534912896954,inf,inf,inf,inf,inf,0.8654243187260451,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/app/models/forecaster_best.pt,30
