cell,hidden,ralpha,gamma,dropout,lr,dual,cls,geomean
h128_a0.3_g1.0_d0.1_l0.0003,128,0.3,1.0,0.1,0.0003,0.4185,0.4167,0.4176
h32_a0.5_g1.0_d0.1_l0.0003,32,0.5,1.0,0.1,0.0003,0.4004,0.4184,0.4093
h32_a0.3_g1.0_d0.3_l0.0001,32,0.3,1.0,0.3,0.0001,0.3609,0.3474,0.3541
h128_a0.5_g1.0_d0.1_l0.0001,128,0.5,1.0,0.1,0.0001,0.4256,0.4221,0.4238
h32_a0.7_g1.5_d0.3_l0.0003,32,0.7,1.5,0.3,0.0003,0.4066,0.4315,0.4189
h32_a0.7_g1.0_d0.3_l0.001,32,0.7,1.0,0.3,0.001,0.4535,0.4239,0.4384
h32_a0.7_g1.0_d0.2_l0.0001,32,0.7,1.0,0.2,0.0001,0.3808,0.3613,0.3709
h32_a0.5_g1.0_d0.3_l0.001,32,0.5,1.0,0.3,0.001,0.4467,0.4239,0.4351
h128_a0.3_g2.0_d0.3_l0.001,128,0.3,2.0,0.3,0.001,0.4258,0.4288,0.4273
h32_a0.3_g2.0_d0.3_l0.001,32,0.3,2.0,0.3,0.001,0.4559,0.4173,0.4362
h128_a0.3_g1.5_d0.1_l0.001,128,0.3,1.5,0.1,0.001,0.4257,0.4305,0.4281
h128_a0.7_g2.0_d0.2_l0.001,128,0.7,2.0,0.2,0.001,0.4279,0.4229,0.4254
h128_a0.7_g1.5_d0.2_l0.0001,128,0.7,1.5,0.2,0.0001,0.4296,0.4041,0.4167
h64_a0.7_g1.0_d0.2_l0.0003,64,0.7,1.0,0.2,0.0003,0.4127,0.4174,0.4151
h32_a0.3_g2.0_d0.2_l0.0003,32,0.3,2.0,0.2,0.0003,0.4166,0.4468,0.4314
h64_a0.7_g1.5_d0.3_l0.0003,64,0.7,1.5,0.3,0.0003,0.4312,0.4377,0.4344
h64_a0.5_g1.0_d0.1_l0.0001,64,0.5,1.0,0.1,0.0001,0.4033,0.4219,0.4125
h32_a0.3_g1.0_d0.3_l0.001,32,0.3,1.0,0.3,0.001,0.4516,0.4239,0.4375
h32_a0.3_g1.0_d0.3_l0.0003,32,0.3,1.0,0.3,0.0003,0.4244,0.4298,0.4271
h32_a0.3_g2.0_d0.2_l0.001,32,0.3,2.0,0.2,0.001,0.4373,0.4239,0.4305
h32_a0.7_g1.0_d0.1_l0.0003,32,0.7,1.0,0.1,0.0003,0.4090,0.4184,0.4137
h32_a0.7_g1.0_d0.2_l0.001,32,0.7,1.0,0.2,0.001,0.4267,0.4277,0.4272
h64_a0.5_g2.0_d0.2_l0.0001,64,0.5,2.0,0.2,0.0001,0.3882,0.4269,0.4071
h64_a0.7_g2.0_d0.1_l0.0003,64,0.7,2.0,0.1,0.0003,0.4242,0.4146,0.4194
h128_a0.7_g2.0_d0.3_l0.0001,128,0.7,2.0,0.3,0.0001,0.4445,0.3987,0.4210
h64_a0.7_g1.0_d0.3_l0.001,64,0.7,1.0,0.3,0.001,0.4513,0.4307,0.4409
h32_a0.5_g2.0_d0.2_l0.001,32,0.5,2.0,0.2,0.001,0.4440,0.4239,0.4338
h128_a0.3_g2.0_d0.2_l0.0001,128,0.3,2.0,0.2,0.0001,0.4305,0.4067,0.4184
h128_a0.3_g1.0_d0.2_l0.0003,128,0.3,1.0,0.2,0.0003,0.4259,0.4069,0.4163
h128_a0.3_g1.5_d0.3_l0.001,128,0.3,1.5,0.3,0.001,0.4210,0.4274,0.4242
h128_a0.7_g1.5_d0.2_l0.0003,128,0.7,1.5,0.2,0.0003,0.4354,0.4147,0.4249
h64_a0.3_g2.0_d0.3_l0.001,64,0.3,2.0,0.3,0.001,0.4360,0.4311,0.4335
h32_a0.7_g1.0_d0.1_l0.001,32,0.7,1.0,0.1,0.001,0.4356,0.4271,0.4313
h64_a0.5_g1.0_d0.3_l0.0001,64,0.5,1.0,0.3,0.0001,0.4007,0.4251,0.4127
h64_a0.7_g1.5_d0.3_l0.0001,64,0.7,1.5,0.3,0.0001,0.3883,0.4218,0.4047
h32_a0.7_g1.5_d0.3_l0.001,32,0.7,1.5,0.3,0.001,0.4339,0.4253,0.4296
h32_a0.3_g1.0_d0.1_l0.0003,32,0.3,1.0,0.1,0.0003,0.4049,0.4184,0.4116
h128_a0.5_g1.0_d0.2_l0.001,128,0.5,1.0,0.2,0.001,0.4264,0.4278,0.4271
h32_a0.5_g1.5_d0.2_l0.0003,32,0.5,1.5,0.2,0.0003,0.4293,0.4364,0.4328
h128_a0.3_g1.5_d0.3_l0.0003,128,0.3,1.5,0.3,0.0003,0.4233,0.4040,0.4136
