meeting_date,is_intermeeting,notes
2010-01-27,false,scheduled
2010-03-16,false,scheduled
2010-04-28,false,scheduled
2010-06-23,false,scheduled
2010-08-10,false,scheduled
2010-09-21,false,scheduled
2010-11-03,false,scheduled
2010-12-14,false,scheduled
2011-01-26,false,scheduled
2011-03-15,false,scheduled
2011-04-27,false,scheduled
2011-06-22,false,scheduled
2011-08-09,false,scheduled
2011-09-21,false,scheduled
2011-11-02,false,scheduled
2011-12-13,false,scheduled
2012-01-25,false,scheduled
2012-03-13,false,scheduled
2012-04-25,false,scheduled
2012-06-20,false,scheduled
2012-08-01,false,scheduled
2012-09-13,false,scheduled
2012-10-24,false,scheduled
2012-12-12,false,scheduled
2013-01-30,false,scheduled
2013-03-20,false,scheduled
2013-05-01,false,scheduled
2013-06-19,false,scheduled
2013-07-31,false,scheduled
2013-09-18,false,scheduled
2013-10-30,false,scheduled
2013-12-18,false,scheduled
2014-01-29,false,scheduled
2014-03-19,false,scheduled
2014-04-30,false,scheduled
2014-06-18,false,scheduled
2014-07-30,false,scheduled
2014-09-17,false,scheduled
2014-10-29,false,scheduled
2014-12-17,false,scheduled
2015-01-28,false,scheduled
2015-03-18,false,scheduled
2015-04-29,false,scheduled
2015-06-17,false,scheduled
2015-07-29,false,scheduled
2015-09-17,false,scheduled
2015-10-28,false,scheduled
2015-12-16,false,scheduled
2016-01-27,false,scheduled
2016-03-16,false,scheduled
2016-04-27,false,scheduled
2016-06-15,false,scheduled
2016-07-27,false,scheduled
2016-09-21,false,scheduled
2016-11-02,false,scheduled
2016-12-14,false,scheduled
2017-02-01,false,scheduled
2017-03-15,false,scheduled
2017-05-03,false,scheduled
2017-06-14,false,scheduled
2017-07-26,false,scheduled
2017-09-20,false,scheduled
2017-11-01,false,scheduled
2017-12-13,false,scheduled
2018-01-31,false,scheduled
2018-03-21,false,scheduled
2018-05-02,false,scheduled
2018-06-13,false,scheduled
2018-08-01,false,scheduled
2018-09-26,false,scheduled
2018-11-08,false,scheduled
2018-12-19,false,scheduled
2019-01-30,false,scheduled
2019-03-20,false,scheduled
2019-05-01,false,scheduled
2019-06-19,false,scheduled
2019-07-31,false,scheduled
2019-09-18,false,scheduled
2019-10-30,false,scheduled
2019-12-11,false,scheduled
2020-01-29,false,scheduled
2020-03-03,true,emergency_cut_50bp_covid
2020-03-15,true,emergency_cut_100bp_covid_sunday
2020-04-29,false,scheduled
2020-06-10,false,scheduled
2020-07-29,false,scheduled
2020-09-16,false,scheduled
2020-11-05,false,scheduled
2020-12-16,false,scheduled
2021-01-27,false,scheduled
2021-03-17,false,scheduled
2021-04-28,false,scheduled
2021-06-16,false,scheduled
2021-07-28,false,scheduled
2021-09-22,false,scheduled
2021-11-03,false,scheduled
2021-12-15,false,scheduled
2022-01-26,false,scheduled
2022-03-16,false,scheduled
2022-05-04,false,scheduled
2022-06-15,false,scheduled
2022-07-27,false,scheduled
2022-09-21,false,scheduled
2022-11-02,false,scheduled
2022-12-14,false,scheduled
2023-02-01,false,scheduled
2023-03-22,false,scheduled
2023-05-03,false,scheduled
2023-06-14,false,scheduled
2023-07-26,false,scheduled
2023-09-20,false,scheduled
2023-11-01,false,scheduled
2023-12-13,false,scheduled
2024-01-31,false,scheduled
2024-03-20,false,scheduled
2024-05-01,false,scheduled
2024-06-12,false,scheduled
2024-07-31,false,scheduled
2024-09-18,false,scheduled
2024-11-07,false,scheduled
2024-12-18,false,scheduled
2025-01-29,false,scheduled
2025-03-19,false,scheduled
2025-05-07,false,scheduled
2025-06-18,false,scheduled
2025-07-30,false,scheduled
2025-09-17,false,scheduled
2025-10-29,false,scheduled
2025-12-10,false,scheduled
2026-01-28,false,scheduled
2026-03-18,false,scheduled
2026-04-29,false,scheduled
2026-06-17,false,scheduled
2026-07-29,false,scheduled
2026-09-16,false,scheduled
2026-10-28,false,scheduled
2026-12-09,false,scheduled
