release_kind,release_date
ISM,1977-01-03
NFP,1977-01-07
CPI,1977-01-12
ISM,1977-02-01
NFP,1977-02-04
CPI,1977-02-09
ISM,1977-03-01
NFP,1977-03-04
CPI,1977-03-09
ISM,1977-04-01
NFP,1977-04-01
CPI,1977-04-13
ISM,1977-05-02
NFP,1977-05-06
CPI,1977-05-11
ISM,1977-06-01
NFP,1977-06-03
CPI,1977-06-08
ISM,1977-07-01
NFP,1977-07-01
CPI,1977-07-13
ISM,1977-08-01
NFP,1977-08-05
CPI,1977-08-10
ISM,1977-09-01
NFP,1977-09-02
CPI,1977-09-14
ISM,1977-10-03
NFP,1977-10-07
CPI,1977-10-12
ISM,1977-11-01
NFP,1977-11-04
CPI,1977-11-09
ISM,1977-12-01
NFP,1977-12-02
CPI,1977-12-14
ISM,1978-01-03
NFP,1978-01-06
CPI,1978-01-11
ISM,1978-02-01
NFP,1978-02-03
CPI,1978-02-08
ISM,1978-03-01
NFP,1978-03-03
CPI,1978-03-08
ISM,1978-04-03
NFP,1978-04-07
CPI,1978-04-12
ISM,1978-05-01
NFP,1978-05-05
CPI,1978-05-10
ISM,1978-06-01
NFP,1978-06-02
CPI,1978-06-14
ISM,1978-07-03
NFP,1978-07-07
CPI,1978-07-12
ISM,1978-08-01
NFP,1978-08-04
CPI,1978-08-09
ISM,1978-09-01
NFP,1978-09-01
CPI,1978-09-13
ISM,1978-10-02
NFP,1978-10-06
CPI,1978-10-11
ISM,1978-11-01
NFP,1978-11-03
CPI,1978-11-08
ISM,1978-12-01
NFP,1978-12-01
CPI,1978-12-13
ISM,1979-01-02
NFP,1979-01-05
CPI,1979-01-10
ISM,1979-02-01
NFP,1979-02-02
CPI,1979-02-14
ISM,1979-03-01
NFP,1979-03-02
CPI,1979-03-14
ISM,1979-04-02
NFP,1979-04-06
CPI,1979-04-11
ISM,1979-05-01
NFP,1979-05-04
CPI,1979-05-09
ISM,1979-06-01
NFP,1979-06-01
CPI,1979-06-13
ISM,1979-07-02
NFP,1979-07-06
CPI,1979-07-11
ISM,1979-08-01
NFP,1979-08-03
CPI,1979-08-08
ISM,1979-09-04
NFP,1979-09-07
CPI,1979-09-12
ISM,1979-10-01
NFP,1979-10-05
CPI,1979-10-10
ISM,1979-11-01
NFP,1979-11-02
CPI,1979-11-14
ISM,1979-12-03
NFP,1979-12-07
CPI,1979-12-12
ISM,1980-01-02
NFP,1980-01-04
CPI,1980-01-09
ISM,1980-02-01
NFP,1980-02-01
CPI,1980-02-13
ISM,1980-03-03
NFP,1980-03-07
CPI,1980-03-12
ISM,1980-04-01
NFP,1980-04-04
CPI,1980-04-09
ISM,1980-05-01
NFP,1980-05-02
CPI,1980-05-14
ISM,1980-06-02
NFP,1980-06-06
CPI,1980-06-11
ISM,1980-07-01
NFP,1980-07-07
CPI,1980-07-09
ISM,1980-08-01
NFP,1980-08-01
CPI,1980-08-13
ISM,1980-09-02
NFP,1980-09-05
CPI,1980-09-10
